item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
the hunger games,466,0.7637875536480686,0.6196351931330472,0.624087982832618,0.7180793991416309,0.7025751072961373
normal people,407,0.8416461916461916,0.6342751842751843,0.6447788697788697,0.7415847665847666,0.7162776412776413
crime and punishment,479,0.869624217118998,0.6085073068893528,0.5727557411273486,0.6446242171189979,0.6771398747390397
where the crawdads sing,341,0.7859237536656891,0.6773460410557185,0.6505865102639296,0.7715542521994135,0.634090909090909
shatter me,432,0.7589699074074074,0.6036458333333333,0.6071759259259258,0.7184606481481481,0.7143518518518519
non,8096,0.7051136363636364,0.6225697875494071,0.6208899456521739,0.7075376729249012,0.6646183300395256
animal farm,353,0.7923512747875355,0.6175637393767706,0.6104107648725212,0.7082152974504249,0.6498583569405099
bible ,683,0.7545754026354319,0.681661786237189,0.6608711566617862,0.7759150805270862,0.604575402635432
laut bercerita,394,0.7951776649746192,0.6375634517766497,0.5809644670050762,0.6894035532994924,0.7321700507614214
the bible ,301,0.7495016611295681,0.6773255813953488,0.6848006644518272,0.7779069767441861,0.6048172757475083
sapiens,377,0.8402519893899204,0.64131299734748,0.6320291777188329,0.6897877984084881,0.6113395225464192
pride and prejudice,427,0.8248829039812645,0.6350117096018736,0.617447306791569,0.7296252927400468,0.6717798594847776
if he had been with me,322,0.7292701863354036,0.6350155279503106,0.627639751552795,0.7488354037267081,0.7302018633540373
to kill a mockingbird,358,0.7714385474860334,0.6377793296089385,0.6346368715083799,0.7192737430167597,0.6618715083798883
twilight,427,0.7693793911007025,0.6283372365339578,0.6230093676814987,0.735655737704918,0.7029859484777518
icebreaker,325,0.701,0.615153846153846,0.6676923076923077,0.7263076923076923,0.7214615384615385
six of crows,282,0.8212765957446809,0.5998226950354609,0.5553191489361702,0.7171099290780141,0.72677304964539
lord of the flies,293,0.7328498293515358,0.6156143344709898,0.643174061433447,0.724061433447099,0.6465870307167235
the subtle art of not giving a fuck,258,0.8120155038759689,0.6492248062015504,0.6352713178294573,0.7263565891472867,0.6310077519379844
no one,320,0.72890625,0.6455468750000001,0.61375,0.7005468749999999,0.654375
filosofi teras,250,0.8049,0.6587000000000001,0.5888,0.6797,0.6664000000000001
quran,420,0.7598214285714285,0.6889880952380952,0.6348214285714285,0.7414285714285713,0.6069642857142857
wings of fire,340,0.7525,0.6168382352941177,0.5866911764705882,0.7372794117647059,0.6655882352941176
lord of the rings,370,0.7977027027027026,0.6253378378378378,0.5946621621621622,0.7072297297297298,0.6511486486486486
throne of glass,300,0.7834166666666665,0.64675,0.6274166666666666,0.7404999999999999,0.6761666666666667
the hobbit,237,0.7920886075949367,0.6223628691983122,0.6029535864978902,0.7233122362869199,0.6583333333333333
better than the movies,275,0.7564545454545454,0.6237272727272727,0.6250909090909091,0.752,0.7066363636363636
cant remember,109,0.7557339449541285,0.6422018348623854,0.630045871559633,0.7153669724770643,0.6536697247706422
hujan,406,0.7830665024630542,0.6121921182266009,0.5928571428571429,0.6916256157635469,0.73435960591133
cant hurt me,87,0.7491379310344827,0.6767241379310345,0.6804597701149425,0.6974137931034484,0.5839080459770115
girl in pieces,305,0.7622131147540984,0.5681147540983605,0.5766393442622951,0.7418032786885246,0.8135245901639344
psychology of money,441,0.7906462585034014,0.7119614512471656,0.6401927437641722,0.7112811791383219,0.5903061224489796
one piece,327,0.7753822629969418,0.6021406727828746,0.5924311926605506,0.7047400611620794,0.6609327217125383
sherlock holmes,324,0.7872685185185185,0.6185956790123457,0.5700617283950616,0.6739197530864197,0.6713734567901235
it starts with us,279,0.7396953405017921,0.6871863799283154,0.6633512544802868,0.7873655913978495,0.6688172043010754
a gentle reminder,288,0.8357638888888889,0.7168402777777777,0.654079861111111,0.7944444444444444,0.6611979166666667
fahrenheit ,215,0.7839534883720931,0.609767441860465,0.6180232558139535,0.705,0.6590697674418604
the alchemist ,218,0.830848623853211,0.6489678899082569,0.625229357798165,0.7540137614678898,0.6497706422018349
verity ,323,0.729953560371517,0.670046439628483,0.6620743034055726,0.7627708978328173,0.6753869969040248
acotar,245,0.8202040816326531,0.6383673469387755,0.6347959183673468,0.7595918367346939,0.6910204081632653
no answer,262,0.7345419847328244,0.6270992366412214,0.6193702290076335,0.7344465648854962,0.6596374045801526
rich dad poor dad ,209,0.7778708133971292,0.6892344497607656,0.6440191387559809,0.7321770334928228,0.6026315789473684
percy jackson ,551,0.7825317604355716,0.5982304900181489,0.597595281306715,0.7342105263157894,0.6955989110707804
the song of achilles,290,0.8529310344827586,0.6017241379310345,0.5877586206896551,0.7350862068965518,0.7437068965517242
little women,229,0.8028384279475981,0.6388646288209607,0.6147379912663755,0.7378820960698691,0.6966157205240173
great gatsby,925,0.7419999999999999,0.6381351351351352,0.6576756756756755,0.7134864864864864,0.6498108108108107
 rules for life,255,0.8487254901960785,0.6797058823529412,0.6304901960784313,0.6815686274509805,0.6039215686274509
the silent patient ,182,0.7898351648351648,0.635576923076923,0.6137362637362638,0.7385989010989011,0.6870879120879121
the secret history,270,0.8839814814814814,0.6418518518518519,0.6021296296296296,0.6812962962962963,0.6975
think and grow rich,224,0.8107142857142856,0.7106026785714287,0.6537946428571428,0.7338169642857143,0.5662946428571429
manga,619,0.7653877221324716,0.5984652665589661,0.5731017770597738,0.7137722132471729,0.6877625201938611
heartstopper,238,0.7624999999999998,0.5640756302521008,0.5633403361344538,0.7674369747899161,0.7661764705882352
one of us is lying,227,0.7321585903083699,0.6256607929515418,0.6387665198237885,0.7427312775330395,0.7096916299559471
wonder,318,0.7419025157232704,0.6374213836477987,0.6387578616352201,0.7518867924528302,0.6509433962264151
lessons in chemistry,215,0.8201162790697674,0.7148837209302326,0.6538372093023256,0.7726744186046511,0.5975581395348837
the cruel prince,218,0.8330275229357796,0.5926605504587156,0.6213302752293578,0.7071100917431193,0.7120412844036699
the giver,207,0.7463768115942029,0.6242753623188405,0.6410628019323671,0.7385265700483091,0.6666666666666666
frankenstein,294,0.8150510204081632,0.624234693877551,0.6081632653061224,0.7210884353741497,0.680017006802721
game of thrones,276,0.8006340579710145,0.6299818840579711,0.6103260869565217,0.7026268115942028,0.6686594202898551
the kite runner,206,0.7898058252427186,0.6476941747572816,0.6305825242718448,0.7432038834951457,0.658373786407767
