item,count,mean_Openness,mean_Conscientiousness,mean_Extraversion,mean_Agreeableness,mean_Neuroticism
titanic,511,0.7443248532289629,0.6421232876712328,0.6453522504892367,0.7284246575342466,0.6764677103718199
leo,691,0.7734442836468887,0.652424023154848,0.6476845151953691,0.7090810419681621,0.6381693198263386
scream,864,0.7349247685185184,0.5932581018518519,0.5999710648148148,0.7099247685185185,0.7143518518518519
gran turismo,458,0.7225436681222707,0.643504366812227,0.6082423580786025,0.7122816593886463,0.6631550218340612
guardians of the galaxy vol ,112,0.7803571428571429,0.6482142857142856,0.6116071428571429,0.7439732142857142,0.6453125000000001
spiderman ,1840,0.7754891304347825,0.595054347826087,0.6030163043478262,0.7223505434782609,0.6715489130434783
good will hunting,478,0.8210251046025103,0.6340481171548118,0.6663702928870292,0.72918410041841,0.6382845188284519
lord of the rings,671,0.8111773472429209,0.6428092399403874,0.5969448584202682,0.7211251862891207,0.6567436661698957
the boy and the heron,440,0.8574999999999999,0.6130113636363637,0.5768749999999999,0.737840909090909,0.6863068181818183
suzume,487,0.8097535934291581,0.5916837782340862,0.5524127310061601,0.7076488706365504,0.7046714579055441
batman,977,0.7695240532241555,0.6302968270214944,0.6186028659160696,0.6871545547594677,0.6394063459570113
smile,505,0.7425247524752474,0.6185643564356436,0.6267821782178218,0.7180198019801981,0.6899999999999998
avengers,833,0.7440876350540216,0.6573229291716686,0.63109243697479,0.7327731092436975,0.6364345738295318
nowhere,425,0.7916470588235294,0.7378235294117648,0.6629999999999999,0.7918823529411764,0.5988823529411765
godzilla minus one,352,0.8092329545454546,0.61875,0.570028409090909,0.7205255681818182,0.6615767045454546
mission impossible,814,0.7582616707616708,0.6882678132678133,0.6425675675675675,0.7289619164619164,0.5936425061425061
the batman,423,0.7891843971631204,0.6176713947990543,0.6086879432624113,0.678368794326241,0.6515366430260048
little women,469,0.8311833688699359,0.6272388059701491,0.6209488272921109,0.7486140724946696,0.705277185501066
a man called otto,362,0.8100828729281768,0.6978591160220995,0.6305939226519337,0.7594613259668507,0.6491022099447513
anime,662,0.785762839879154,0.6036253776435045,0.5489803625377644,0.6908232628398793,0.7057779456193353
john wick chapter ,213,0.7836854460093897,0.6737089201877934,0.6082159624413146,0.7198356807511737,0.6369718309859156
the hunger games,971,0.7733264675592173,0.6472708547888775,0.6403450051493306,0.740447991761071,0.6769052523171988
spider man,1418,0.7468970380818053,0.6040726375176305,0.6191643159379407,0.7153737658674189,0.6583568406205924
sound of freedom,493,0.7502535496957403,0.6860040567951319,0.6412778904665314,0.7698275862068965,0.6154665314401623
